inst,succ probSAT,of,steps probSAT,awg fined probSAT,mu probSAT,sig^2 probSAT
uf20-0672.cnf,1000,1000,121.413,121.413,4.23086,1.29844
uf20-0673.cnf,1000,1000,30.107,30.107,3.02741,0.7292
uf20-0674.cnf,1000,1000,93.649,93.649,4.11375,0.93537
uf20-0675.cnf,1000,1000,108.946,108.946,4.23497,1.02677
uf20-0676.cnf,1000,1000,26.731,26.731,3.03907,0.50118
uf20-0677.cnf,1000,1000,45.062,45.062,3.47988,0.71551
uf20-0678.cnf,1000,1000,192.086,192.086,4.71573,1.33864
uf20-0679.cnf,1000,1000,49.952,49.952,3.52319,0.81026
uf20-0680.cnf,1000,1000,79.17,79.17,4.00133,0.80542
uf20-0681.cnf,1000,1000,48.426,48.426,3.44731,0.87673
uf20-0682.cnf,1000,1000,31.147,31.147,3.17957,0.53785
uf20-0683.cnf,990,1000,263.411,398.411,4.71694,1.94719
uf20-0684.cnf,1000,1000,150.119,150.119,4.50054,1.18709
uf20-0685.cnf,1000,1000,86.799,86.799,3.91191,1.20949
uf20-0686.cnf,998,1000,192.875,219.875,4.47842,1.90474
uf20-0687.cnf,986,1000,236.384,425.384,4.523,2.03674
uf20-0688.cnf,1000,1000,101.531,101.531,4.01175,1.37732
uf20-0689.cnf,1000,1000,32.354,32.354,3.18676,0.60399
uf20-0690.cnf,1000,1000,21.339,21.339,2.80897,0.50588
uf20-0691.cnf,1000,1000,168.923,168.923,4.63854,1.15288
uf20-0692.cnf,1000,1000,109.154,109.154,4.23224,1.10425
uf20-0693.cnf,1000,1000,72.866,72.866,3.89842,0.81946
uf20-0694.cnf,998,1000,191.327,218.327,4.59502,1.62975
uf20-0695.cnf,1000,1000,69.093,69.093,3.8641,0.80116
uf20-0696.cnf,1000,1000,50.83,50.83,3.4705,0.94357
uf20-0697.cnf,1000,1000,27.525,27.525,2.98805,0.63506
uf20-0698.cnf,1000,1000,81.526,81.526,4.00584,0.85644
uf20-0699.cnf,1000,1000,85.883,85.883,3.88379,1.15047
uf20-0700.cnf,1000,1000,74.952,74.952,4.03357,0.62393
uf20-0701.cnf,1000,1000,145.718,145.718,4.47606,1.21438
uf20-0702.cnf,1000,1000,23.37,23.37,2.84649,0.5994
