inst,succ gSAT2,of,steps gSAT2,awg fined gSAT2,mu gSAT2,sig^2 gSAT2
uf50-0323.cnf,1000,1000,41.22,41.22,3.53825,0.32669
uf50-0324.cnf,1000,1000,53.482,53.482,3.70623,0.50193
uf50-0325.cnf,1000,1000,56.504,56.504,3.74306,0.52549
uf50-0326.cnf,1000,1000,28.421,28.421,3.22636,0.22497
uf50-0327.cnf,1000,1000,41.346,41.346,3.4673,0.38517
uf50-0328.cnf,1000,1000,43.405,43.405,3.5189,0.40929
uf50-0329.cnf,1000,1000,54.405,54.405,3.6637,0.57498
uf50-0330.cnf,1000,1000,36.101,36.101,3.38858,0.3435
uf50-0331.cnf,1000,1000,29.879,29.879,3.17932,0.31967
uf50-0332.cnf,1000,1000,29.708,29.708,3.25584,0.25647
uf50-0333.cnf,1000,1000,38.961,38.961,3.45315,0.34638
uf50-0334.cnf,1000,1000,41.681,41.681,3.51097,0.38348
uf50-0335.cnf,1000,1000,36.31,36.31,3.38417,0.33921
uf50-0336.cnf,999,1000,82.89,96.39,3.87013,0.81681
uf50-0337.cnf,1000,1000,47.629,47.629,3.6285,0.42576
uf50-0338.cnf,1000,1000,50.834,50.834,3.68002,0.43245
uf50-0339.cnf,1000,1000,35.084,35.084,3.392,0.28744
uf50-0340.cnf,1000,1000,28.74,28.74,3.18686,0.27737
uf50-0341.cnf,1000,1000,45.986,45.986,3.58678,0.41875
uf50-0342.cnf,1000,1000,36.947,36.947,3.38698,0.37551
uf50-0343.cnf,1000,1000,41.471,41.471,3.50737,0.37718
uf50-0344.cnf,1000,1000,35.289,35.289,3.40983,0.28456
uf50-0345.cnf,1000,1000,32.389,32.389,3.32402,0.27558
uf50-0346.cnf,1000,1000,53.293,53.293,3.69194,0.47323
uf50-0347.cnf,1000,1000,27.128,27.128,3.18047,0.22502
uf50-0348.cnf,1000,1000,36.452,36.452,3.41532,0.3176
uf50-0349.cnf,1000,1000,37.381,37.381,3.44312,0.33275
