inst,xing,winner
uf20-0475.cnf,572,gSAT2
uf20-0476.cnf,39,probSAT
uf20-0477.cnf,None,probSAT
uf20-0478.cnf,25,probSAT
uf20-0479.cnf,52,probSAT
uf20-0480.cnf,23,probSAT
uf20-0481.cnf,3,probSAT
uf20-0482.cnf,12,probSAT
uf20-0483.cnf,116,gSAT2
uf20-0484.cnf,29,probSAT
uf20-0485.cnf,None,probSAT
uf20-0486.cnf,19,probSAT
uf20-0487.cnf,33,probSAT
uf20-0488.cnf,2,probSAT
uf20-0489.cnf,30,probSAT
uf20-0490.cnf,71,probSAT
uf20-0491.cnf,None,probSAT
uf20-0492.cnf,215,probSAT
uf20-0493.cnf,50,probSAT
uf20-0494.cnf,21,probSAT
uf20-0495.cnf,None,probSAT
uf20-0496.cnf,172,gSAT2
uf20-0497.cnf,29,gSAT2
uf20-0498.cnf,52,probSAT
uf20-0499.cnf,234,gSAT2
uf20-0500.cnf,194,probSAT
uf20-0501.cnf,None,gSAT2
uf20-0502.cnf,19,probSAT
uf20-0503.cnf,25,probSAT
uf20-0504.cnf,58,probSAT
uf20-0505.cnf,24,probSAT
uf20-0506.cnf,13,probSAT
uf20-0507.cnf,7,probSAT
uf20-0508.cnf,31,probSAT
uf20-0509.cnf,91,probSAT
uf20-0510.cnf,32,probSAT
uf20-0511.cnf,10,probSAT
uf20-0512.cnf,88,probSAT
uf20-0513.cnf,6,probSAT
uf20-0514.cnf,93,probSAT
uf20-0515.cnf,37,probSAT
uf20-0516.cnf,18,probSAT
uf20-0517.cnf,48,probSAT
uf20-0518.cnf,33,probSAT
uf20-0519.cnf,76,probSAT
uf20-0520.cnf,12,probSAT
uf20-0521.cnf,53,probSAT
uf20-0522.cnf,22,probSAT
uf20-0523.cnf,37,probSAT
uf20-0524.cnf,34,probSAT
uf20-0525.cnf,None,probSAT
uf20-0526.cnf,4,probSAT
uf20-0527.cnf,23,probSAT
uf20-0528.cnf,43,probSAT
uf20-0529.cnf,None,probSAT
uf20-0530.cnf,18,probSAT
uf20-0531.cnf,25,probSAT
uf20-0532.cnf,3,probSAT
uf20-0533.cnf,1,probSAT
uf20-0534.cnf,21,probSAT
uf20-0535.cnf,131,probSAT
uf20-0536.cnf,38,probSAT
uf20-0537.cnf,48,probSAT
uf20-0538.cnf,6,probSAT
uf20-0539.cnf,279,gSAT2
uf20-0540.cnf,23,probSAT
uf20-0541.cnf,35,probSAT
uf20-0542.cnf,23,probSAT
uf20-0543.cnf,7,probSAT
uf20-0544.cnf,5,probSAT
uf20-0545.cnf,30,probSAT
uf20-0546.cnf,3,probSAT
uf20-0547.cnf,11,probSAT
uf20-0548.cnf,74,probSAT
uf20-0549.cnf,9,probSAT
uf20-0550.cnf,12,probSAT
uf20-0551.cnf,1082,gSAT2
uf20-0552.cnf,20,probSAT
uf20-0553.cnf,32,probSAT
uf20-0554.cnf,5,probSAT
uf20-0555.cnf,7,probSAT
uf20-0556.cnf,33,probSAT
uf20-0557.cnf,681,gSAT2
uf20-0558.cnf,None,probSAT
uf20-0559.cnf,26,probSAT
uf20-0560.cnf,51,probSAT
uf20-0561.cnf,24,probSAT
uf20-0562.cnf,29,probSAT
uf20-0563.cnf,182,gSAT2
uf20-0564.cnf,10,probSAT
uf20-0565.cnf,17,probSAT
uf20-0566.cnf,13,probSAT
uf20-0567.cnf,3,probSAT
uf20-0568.cnf,35,probSAT
uf20-0569.cnf,56,probSAT
uf20-0570.cnf,53,probSAT
uf20-0571.cnf,16,probSAT
uf20-0572.cnf,19,probSAT
uf20-0573.cnf,None,probSAT
uf20-0574.cnf,30,probSAT
uf20-0575.cnf,37,probSAT
uf20-0576.cnf,80,probSAT
uf20-0577.cnf,3,probSAT
uf20-0578.cnf,15,probSAT
uf20-0579.cnf,3,probSAT
uf20-0580.cnf,14,probSAT
uf20-0581.cnf,31,probSAT
uf20-0582.cnf,33,probSAT
uf20-0583.cnf,80,probSAT
uf20-0584.cnf,30,probSAT
uf20-0585.cnf,17,probSAT
uf20-0586.cnf,7,probSAT
uf20-0587.cnf,10,probSAT
uf20-0588.cnf,9,probSAT
uf20-0589.cnf,319,gSAT2
uf20-0590.cnf,542,gSAT2
uf20-0591.cnf,15,probSAT
uf20-0592.cnf,26,probSAT
uf20-0593.cnf,21,probSAT
uf20-0594.cnf,9,probSAT
uf20-0595.cnf,27,probSAT
uf20-0596.cnf,25,probSAT
uf20-0597.cnf,17,probSAT
uf20-0598.cnf,76,probSAT
uf20-0599.cnf,59,probSAT
uf20-0600.cnf,27,probSAT
uf20-0601.cnf,74,probSAT
uf20-0602.cnf,30,probSAT
uf20-0603.cnf,62,probSAT
uf20-0604.cnf,71,probSAT
uf20-0605.cnf,137,probSAT
uf20-0606.cnf,1037,gSAT2
uf20-0607.cnf,125,probSAT
uf20-0608.cnf,78,probSAT
uf20-0609.cnf,16,probSAT
uf20-0610.cnf,63,probSAT
uf20-0611.cnf,26,probSAT
uf20-0612.cnf,41,probSAT
uf20-0613.cnf,9,probSAT
uf20-0614.cnf,23,probSAT
uf20-0615.cnf,19,probSAT
uf20-0616.cnf,37,probSAT
uf20-0617.cnf,27,probSAT
uf20-0618.cnf,24,probSAT
uf20-0619.cnf,139,probSAT
uf20-0620.cnf,None,probSAT
uf20-0621.cnf,49,probSAT
uf20-0622.cnf,27,probSAT
uf20-0623.cnf,18,probSAT
uf20-0624.cnf,16,probSAT
uf20-0625.cnf,77,probSAT
uf20-0626.cnf,17,probSAT
uf20-0627.cnf,15,probSAT
uf20-0628.cnf,7,probSAT
uf20-0629.cnf,None,probSAT
uf20-0630.cnf,35,probSAT
uf20-0631.cnf,12,probSAT
uf20-0632.cnf,50,probSAT
uf20-0633.cnf,18,probSAT
uf20-0634.cnf,18,probSAT
uf20-0635.cnf,8,probSAT
uf20-0636.cnf,34,probSAT
uf20-0637.cnf,9,probSAT
uf20-0638.cnf,29,probSAT
