inst,succ gSAT2,succ probSAT,of,steps gSAT2,steps probSAT,awg fined gSAT2,awg fined probSAT,mu gSAT2,sig^2 gSAT2,mu probSAT,sig^2 probSAT,xing,winner
uf20-085.cnf,939,999,1000,386.616,218.67,1210.116,232.17,4.89938,2.29451,4.73291,1.62719,49,probSAT
uf20-086.cnf,1000,1000,1000,28.162,32.488,28.162,32.488,3.07421,0.52927,3.22991,0.5097,132,gSAT2
uf20-087.cnf,1000,1000,1000,71.485,47.676,71.485,47.676,3.55477,1.3316,3.40458,0.88601,26,probSAT
uf20-088.cnf,1000,1000,1000,65.913,43.256,65.913,43.256,3.56102,1.25165,3.34503,0.86685,9,probSAT
uf20-089.cnf,1000,1000,1000,64.722,49.792,64.722,49.792,3.50675,1.23067,3.45632,0.90257,52,probSAT
uf20-090.cnf,1000,1000,1000,31.733,28.699,31.733,28.699,3.14533,0.60278,3.11537,0.48384,19,probSAT
uf20-091.cnf,999,1000,1000,211.244,169.562,224.744,169.562,4.69964,1.58391,4.60655,1.25825,56,probSAT
uf20-092.cnf,1000,1000,1000,62.713,52.255,62.713,52.255,3.75491,0.80545,3.66622,0.60483,28,probSAT
uf20-093.cnf,1000,1000,1000,104.251,74.468,104.251,74.468,4.06099,1.32171,3.85857,0.98209,16,probSAT
uf20-094.cnf,992,1000,1000,231.074,147.332,339.074,147.332,4.59848,1.84373,4.43962,1.26181,57,probSAT
uf20-095.cnf,969,1000,1000,343.886,200.077,762.386,200.077,4.9587,2.02419,4.65229,1.55731,13,probSAT
uf20-096.cnf,992,1000,1000,260.198,185.87,368.198,185.87,4.97661,1.38742,4.73344,1.22892,None,probSAT
uf20-097.cnf,983,1000,1000,245.053,126.129,474.553,126.129,4.40242,2.4184,4.05059,1.78125,2,probSAT
uf20-098.cnf,1000,1000,1000,108.611,65.57,108.611,65.57,3.97763,1.48561,3.71286,0.94622,19,probSAT
uf20-099.cnf,1000,1000,1000,65.248,56.029,65.248,56.029,3.69126,1.04043,3.60711,0.89287,21,probSAT
uf20-0100.cnf,1000,1000,1000,63.506,52.264,63.506,52.264,3.73352,0.85718,3.65449,0.63438,35,probSAT
uf20-0101.cnf,1000,1000,1000,98.65,64.681,98.65,64.681,4.07486,1.13621,3.77025,0.88752,1,probSAT
uf20-0102.cnf,1000,1000,1000,176.204,99.652,176.204,99.652,4.63292,1.35696,4.17731,0.99451,9,probSAT
uf20-0103.cnf,1000,1000,1000,176.251,165.538,176.251,165.538,4.57344,1.4861,4.58218,1.24345,45,probSAT
uf20-0104.cnf,1000,1000,1000,102.447,44.18,102.447,44.18,3.49259,2.06501,3.19821,1.06962,20,probSAT
uf20-0105.cnf,990,1000,1000,248.599,145.49,383.599,145.49,4.71052,1.81133,4.48433,1.13131,54,probSAT
uf20-0106.cnf,970,999,1000,365.019,183.861,770.019,197.361,5.14592,1.78229,4.70104,1.20022,24,probSAT
uf20-0107.cnf,1000,1000,1000,112.181,98.465,112.181,98.465,4.21859,1.09805,4.23167,0.80848,82,probSAT
uf20-0108.cnf,1000,1000,1000,79.851,64.824,79.851,64.824,3.88472,1.0763,3.79274,0.84158,30,probSAT
uf20-0109.cnf,1000,1000,1000,136.907,103.681,136.907,103.681,4.38119,1.19315,4.25505,0.91305,34,probSAT
uf20-0110.cnf,1000,1000,1000,19.976,18.748,19.976,18.748,2.7101,0.5295,2.67934,0.46343,146,gSAT2
uf20-0111.cnf,1000,1000,1000,41.191,32.576,41.191,32.576,3.31972,0.79209,3.2254,0.55426,21,probSAT
uf20-0112.cnf,1000,1000,1000,161.68,76.601,161.68,76.601,4.33832,1.78309,3.85695,1.05777,9,probSAT
uf20-0113.cnf,993,1000,1000,219.551,136.698,314.051,136.698,4.60326,1.78024,4.40387,1.17431,46,probSAT
uf20-0114.cnf,1000,1000,1000,52.016,35.206,52.016,35.206,3.40304,1.02431,3.23219,0.66564,22,probSAT
uf20-0115.cnf,1000,1000,1000,99.487,57.451,99.487,57.451,3.96662,1.43817,3.65285,0.86024,16,probSAT
uf20-0116.cnf,1000,1000,1000,67.347,79.582,67.347,79.582,3.66885,1.07437,3.87691,1.05777,380,probSAT
uf20-0117.cnf,1000,1000,1000,137.778,104.269,137.778,104.269,4.40391,1.16737,4.2216,0.95782,20,probSAT
uf20-0118.cnf,1000,1000,1000,27.146,22.062,27.146,22.062,2.88901,0.70932,2.84879,0.50127,26,probSAT
uf20-0119.cnf,975,1000,1000,337.358,185.251,674.858,185.251,5.00094,1.96552,4.58316,1.60576,2,probSAT
uf20-0120.cnf,999,1000,1000,123.68,63.842,137.18,63.842,3.95358,1.83101,3.58833,1.15644,1,probSAT
uf20-0121.cnf,1000,1000,1000,49.28,44.457,49.28,44.457,3.41283,0.92108,3.38199,0.83604,59,probSAT
uf20-0122.cnf,961,1000,1000,274.364,134.904,800.864,134.904,4.38727,2.22688,4.21265,1.54306,72,probSAT
uf20-0123.cnf,940,1000,1000,330.956,89.915,1140.956,89.915,4.4426,2.44902,3.94242,1.15627,2,probSAT
uf20-0124.cnf,1000,1000,1000,21.918,18.502,21.918,18.502,2.73261,0.63831,2.63775,0.52713,0,probSAT
uf20-0125.cnf,1000,1000,1000,25.296,25.711,25.296,25.711,2.94984,0.54449,2.99556,0.53248,56,probSAT
uf20-0126.cnf,998,1000,1000,162.366,94.075,189.366,94.075,4.32489,1.80287,4.01224,1.20891,19,probSAT
uf20-0127.cnf,1000,1000,1000,26.507,24.731,26.507,24.731,2.95041,0.57361,2.9304,0.52738,31,probSAT
uf20-0128.cnf,999,1000,1000,90.462,64.463,103.962,64.463,3.77771,1.22554,3.7068,0.92155,46,probSAT
uf20-0129.cnf,1000,1000,1000,136.549,128.598,136.549,128.598,4.16663,1.7887,4.11637,1.65073,529,gSAT2
uf20-0130.cnf,1000,1000,1000,72.35,53.95,72.35,53.95,3.80661,0.98222,3.64298,0.75016,16,probSAT
uf20-0131.cnf,1000,1000,1000,15.99,13.657,15.99,13.657,2.51354,0.45733,2.40584,0.39595,0,probSAT
uf20-0132.cnf,1000,1000,1000,139.308,102.529,139.308,102.529,4.45734,1.12908,4.25999,0.83286,27,probSAT
uf20-0133.cnf,1000,1000,1000,105.966,60.86,105.966,60.86,3.86379,1.58798,3.68298,0.87925,40,probSAT
uf20-0134.cnf,1000,1000,1000,28.166,24.898,28.166,24.898,3.04862,0.55784,2.97644,0.49278,16,probSAT
uf20-0135.cnf,999,1000,1000,227.816,139.054,241.316,139.054,4.74821,1.73375,4.45326,1.14626,36,probSAT
uf20-0136.cnf,969,1000,1000,360.461,132.706,778.961,132.706,4.89066,2.57587,4.22401,1.57388,8,probSAT
uf20-0137.cnf,1000,1000,1000,25.462,20.542,25.462,20.542,2.79327,0.76544,2.73494,0.55441,15,probSAT
uf20-0138.cnf,985,1000,1000,277.719,142.661,480.219,142.661,4.66123,2.20322,4.32545,1.49092,30,probSAT
uf20-0139.cnf,1000,1000,1000,55.452,38.621,55.452,38.621,3.39666,1.17509,3.25325,0.813,17,probSAT
uf20-0140.cnf,993,1000,1000,180.613,69.066,275.113,69.066,4.06965,2.2017,3.69842,1.08513,26,probSAT
uf20-0141.cnf,999,1000,1000,168.414,138.318,181.914,138.318,4.44363,1.52676,4.39396,1.20725,81,probSAT
uf20-0142.cnf,1000,1000,1000,37.769,35.786,37.769,35.786,3.24024,0.77111,3.21997,0.73075,69,probSAT
uf20-0143.cnf,1000,1000,1000,20.345,19.511,20.345,19.511,2.73668,0.50428,2.73021,0.4692,35,probSAT
uf20-0144.cnf,1000,1000,1000,44.412,30.136,44.412,30.136,3.1841,1.11314,3.04934,0.71765,17,probSAT
uf20-0145.cnf,1000,1000,1000,67.645,51.674,67.645,51.674,3.71685,1.05347,3.62622,0.70694,35,probSAT
uf20-0146.cnf,997,1000,1000,107.662,55.857,148.162,55.857,3.80514,1.59272,3.52659,0.96705,12,probSAT
uf20-0147.cnf,997,1000,1000,214.591,110.216,255.091,110.216,4.70573,1.60691,4.27794,0.97302,23,probSAT
uf20-0148.cnf,1000,1000,1000,58.261,46.533,58.261,46.533,3.55879,0.96447,3.50136,0.69448,35,probSAT
uf20-0149.cnf,999,1000,1000,132.852,89.089,146.352,89.089,3.9953,1.89996,3.82645,1.48903,13,probSAT
uf20-0150.cnf,1000,1000,1000,66.889,44.575,66.889,44.575,3.48394,1.31699,3.40278,0.77845,37,probSAT
uf20-0151.cnf,1000,1000,1000,43.091,38.648,43.091,38.648,3.33883,0.80908,3.35319,0.60229,42,probSAT
uf20-0152.cnf,1000,1000,1000,28.761,26.711,28.761,26.711,3.07905,0.5494,3.01648,0.55041,None,probSAT
uf20-0153.cnf,1000,1000,1000,19.96,17.315,19.96,17.315,2.75209,0.4836,2.63935,0.42862,101,probSAT
uf20-0154.cnf,1000,1000,1000,120.139,99.408,120.139,99.408,4.23932,1.24367,4.19575,0.91176,62,probSAT
uf20-0155.cnf,1000,1000,1000,26.177,25.872,26.177,25.872,2.9656,0.59788,2.961,0.59128,84,probSAT
uf20-0156.cnf,1000,1000,1000,100.557,51.359,100.557,51.359,3.77213,1.6452,3.47179,0.95075,22,probSAT
uf20-0157.cnf,1000,1000,1000,102.418,66.456,102.418,66.456,4.1307,1.20924,3.81833,0.82724,16,probSAT
uf20-0158.cnf,1000,1000,1000,74.287,48.792,74.287,48.792,3.69849,1.27972,3.44313,0.89231,8,probSAT
uf20-0159.cnf,1000,1000,1000,154.787,108.075,154.787,108.075,4.36311,1.62213,4.13477,1.27515,13,probSAT
uf20-0160.cnf,991,997,1000,270.72,182.247,392.22,222.747,4.79464,2.07843,4.47059,1.73611,17,probSAT
uf20-0161.cnf,1000,1000,1000,75.06,52.162,75.06,52.162,3.77838,1.21338,3.58234,0.82469,17,probSAT
uf20-0162.cnf,1000,1000,1000,23.845,23.041,23.845,23.041,2.82743,0.6379,2.88942,0.52318,30,probSAT
uf20-0163.cnf,1000,1000,1000,38.035,29.878,38.035,29.878,3.22044,0.8219,3.12273,0.5697,11,probSAT
uf20-0164.cnf,1000,1000,1000,18.314,18.427,18.314,18.427,2.68001,0.43876,2.71585,0.40618,33,probSAT
uf20-0165.cnf,1000,1000,1000,42.13,31.63,42.13,31.63,3.21399,0.95672,3.09178,0.69044,12,probSAT
uf20-0166.cnf,999,1000,1000,117.376,90.933,130.876,90.933,4.12253,1.36705,4.0795,0.98185,69,probSAT
uf20-0167.cnf,1000,1000,1000,197.821,122.021,197.821,122.021,4.65703,1.51435,4.38073,0.96766,33,probSAT
uf20-0168.cnf,1000,1000,1000,64.732,58.393,64.732,58.393,3.62396,1.04879,3.59027,0.91416,31,probSAT
uf20-0169.cnf,1000,1000,1000,41.023,30.908,41.023,30.908,3.29062,0.80312,3.1247,0.60978,4,probSAT
uf20-0170.cnf,1000,1000,1000,73.683,40.086,73.683,40.086,3.72181,1.1058,3.40735,0.60796,None,probSAT
uf20-0171.cnf,1000,1000,1000,72.645,36.341,72.645,36.341,3.61896,1.28738,3.25914,0.68979,None,probSAT
uf20-0172.cnf,988,1000,1000,290.213,188.579,452.213,188.579,4.91572,1.84928,4.71155,1.33315,57,probSAT
uf20-0173.cnf,999,1000,1000,69.827,49.306,83.327,49.306,3.55229,1.19798,3.51249,0.79447,51,probSAT
uf20-0174.cnf,1000,1000,1000,69.369,47.802,69.369,47.802,3.59502,1.16147,3.49542,0.76723,40,probSAT
uf20-0175.cnf,1000,1000,1000,111.319,64.684,111.319,64.684,3.86112,1.61984,3.68564,1.00116,43,probSAT
uf20-0176.cnf,992,999,1000,284.319,200.635,392.319,214.135,4.96696,1.62852,4.75785,1.28825,18,probSAT
uf20-0177.cnf,985,1000,1000,258.808,121.924,461.308,121.924,4.78076,1.69529,4.27009,1.20266,None,probSAT
uf20-0178.cnf,1000,1000,1000,73.723,58.427,73.723,58.427,3.86743,0.97722,3.73228,0.74144,18,probSAT
uf20-0179.cnf,1000,1000,1000,49.757,46.419,49.757,46.419,3.47101,0.88314,3.49225,0.72053,60,probSAT
uf20-0180.cnf,999,1000,1000,215.034,136.334,228.534,136.334,4.69537,1.7024,4.43267,1.13224,25,probSAT
uf20-0181.cnf,1000,1000,1000,58.981,45.624,58.981,45.624,3.5697,0.99985,3.43378,0.8196,26,probSAT
uf20-0182.cnf,1000,1000,1000,35.447,32.997,35.447,32.997,3.26472,0.60288,3.20991,0.5744,179,probSAT
uf20-0183.cnf,1000,1000,1000,174.799,104.844,174.799,104.844,4.52363,1.54916,4.19753,1.07581,21,probSAT
uf20-0184.cnf,1000,1000,1000,99.843,52.918,99.843,52.918,3.91637,1.49834,3.58876,0.83694,17,probSAT
uf20-0185.cnf,988,999,1000,251.6,143.606,413.6,157.106,4.73954,1.70958,4.3621,1.3123,5,probSAT
uf20-0186.cnf,1000,1000,1000,41.133,37.044,41.133,37.044,3.40859,0.64823,3.35592,0.52999,235,gSAT2
uf20-0187.cnf,1000,1000,1000,46.742,41.638,46.742,41.638,3.32071,1.00608,3.33897,0.78252,37,probSAT
uf20-0188.cnf,1000,1000,1000,94.665,60.118,94.665,60.118,3.84898,1.43723,3.59371,1.00767,9,probSAT
uf20-0189.cnf,1000,1000,1000,57.427,42.517,57.427,42.517,3.4322,1.06678,3.38969,0.73378,46,probSAT
uf20-0190.cnf,1000,1000,1000,30.758,27.948,30.758,27.948,3.06738,0.71775,3.04282,0.5872,21,probSAT
uf20-0191.cnf,1000,1000,1000,169.69,97.345,169.69,97.345,4.44733,1.60023,4.14074,1.00861,33,probSAT
uf20-0192.cnf,882,988,1000,594.09,320.271,2187.09,482.271,5.53503,1.98642,5.1024,1.75291,5,probSAT
uf20-0193.cnf,881,993,1000,554.113,267.649,2160.613,362.149,5.25319,2.49266,4.89494,1.74029,30,probSAT
uf20-0194.cnf,1000,1000,1000,73.488,45.0,73.488,45.0,3.63691,1.40354,3.36532,0.89448,12,probSAT
uf20-0195.cnf,1000,1000,1000,27.961,25.133,27.961,25.133,3.00406,0.63835,2.9614,0.52987,13,probSAT
uf20-0196.cnf,1000,1000,1000,61.216,45.852,61.216,45.852,3.64839,0.94148,3.48331,0.70058,13,probSAT
uf20-0197.cnf,1000,1000,1000,134.574,136.694,134.574,136.694,4.40047,1.18638,4.41843,1.17901,777,gSAT2
uf20-0198.cnf,1000,1000,1000,56.315,47.543,56.315,47.543,3.61062,0.77485,3.58359,0.60324,55,probSAT
uf20-0199.cnf,1000,1000,1000,56.051,44.597,56.051,44.597,3.6411,0.77205,3.51117,0.62072,18,probSAT
uf20-0200.cnf,1000,1000,1000,90.903,71.437,90.903,71.437,3.87342,1.31886,3.80307,1.05537,70,probSAT
uf20-0201.cnf,1000,1000,1000,101.761,85.414,101.761,85.414,4.08813,1.24717,3.98203,1.05488,17,probSAT
uf20-0202.cnf,1000,1000,1000,55.85,48.498,55.85,48.498,3.596,0.90361,3.55147,0.68406,30,probSAT
uf20-0203.cnf,994,1000,1000,186.688,110.654,267.688,110.654,4.49524,1.54167,4.22996,1.0445,20,probSAT
uf20-0204.cnf,1000,1000,1000,27.311,26.057,27.311,26.057,3.06812,0.4836,3.04565,0.43819,136,probSAT
uf20-0205.cnf,1000,1000,1000,120.398,66.733,120.398,66.733,4.09019,1.56315,3.66345,1.10452,None,probSAT
uf20-0206.cnf,1000,1000,1000,85.7,48.459,85.7,48.459,3.71963,1.47539,3.4726,0.82759,21,probSAT
uf20-0207.cnf,1000,1000,1000,108.23,94.17,108.23,94.17,4.1391,1.18078,4.12905,0.95338,80,probSAT
uf20-0208.cnf,1000,1000,1000,23.457,20.808,23.457,20.808,2.86116,0.56421,2.80615,0.46039,13,probSAT
uf20-0209.cnf,870,991,1000,460.868,264.516,2215.868,386.016,4.64724,2.60345,4.7138,1.95018,79,probSAT
uf20-0210.cnf,1000,1000,1000,19.434,17.713,19.434,17.713,2.67644,0.51427,2.63179,0.4818,27,probSAT
uf20-0211.cnf,1000,1000,1000,72.609,47.454,72.609,47.454,3.55782,1.34622,3.40892,0.90325,33,probSAT
uf20-0212.cnf,1000,1000,1000,53.432,39.0,53.432,39.0,3.43045,1.14513,3.27256,0.81486,21,probSAT
uf20-0213.cnf,1000,1000,1000,60.354,59.006,60.354,59.006,3.7008,0.89855,3.66482,0.88158,121,gSAT2
uf20-0214.cnf,1000,1000,1000,83.619,73.962,83.619,73.962,4.05804,0.8078,3.95485,0.76048,22,probSAT
uf20-0215.cnf,1000,1000,1000,26.89,23.6,26.89,23.6,2.88963,0.668,2.87297,0.57258,39,probSAT
uf20-0216.cnf,943,997,1000,444.182,212.908,1213.682,253.408,5.18682,2.35653,4.66563,1.69371,18,probSAT
uf20-0217.cnf,1000,1000,1000,68.269,47.06,68.269,47.06,3.70141,1.11579,3.45509,0.83288,9,probSAT
uf20-0218.cnf,1000,1000,1000,27.326,25.93,27.326,25.93,2.95761,0.69032,2.92522,0.65916,181,probSAT
uf20-0219.cnf,998,1000,1000,214.071,131.837,241.071,131.837,4.77524,1.50928,4.39947,1.11871,26,probSAT
uf20-0220.cnf,1000,1000,1000,51.82,44.18,51.82,44.18,3.48548,0.86328,3.44199,0.70377,70,probSAT
uf20-0221.cnf,995,1000,1000,175.346,79.023,242.846,79.023,4.18457,2.16814,3.7531,1.26286,12,probSAT
